ts,magnitudes,longitude,latitude,,
2024/2/19 14:32:9.99,2.4,77.845,40.115,,
2024/2/19 12:7:39.945,2.4,78.513,41.186,,
2024/2/19 11:8:2.582,4.5,83.959,41.957,,
2024/2/19 10:43:8.916,2.1,78.934,41.375,,
2024/2/19 10:29:9.747,1.9,78.643,41.117,,
2024/2/19 8:3:13.325,1.9,76.698,36.022,,
2024/2/19 6:13:3.232,3.2,78.65,41.166,,
2024/2/19 5:43:1.431,2,78.454,40.99,,
2024/2/19 4:50:51.019,2.4,76.962,36.802,,
2024/2/19 4:19:17.158,2.2,78.714,41.259,,
2024/2/19 3:46:0.094,2.4,76.685,36.123,,
2024/2/19 3:8:35.002,2,83.97,41.701,,
2024/2/19 2:26:44.505,2.5,76.781,36.168,,
2024/2/19 1:55:42.228,2.7,76.783,36.604,,
2024/2/19 0:49:48.54,3.7,78.635,41.075,,
2024/2/18 23:47:28.748,1.9,78.416,41.029,,
2024/2/18 19:4:5.837,2.7,83.289,41.316,,
2024/2/18 18:43:18.266,1.9,78.656,41.128,,
2024/2/18 18:22:41.522,2.4,84.008,41.858,,
2024/2/18 18:22:28.639,2.8,78.944,41.358,,
2024/2/18 18:5:1.45,2,78.527,41.018,,
2024/2/18 16:59:13.684,4.2,78.969,41.331,,
2024/2/18 16:24:15.835,2.2,81.889,41.384,,
2024/2/18 14:35:55,2.2,78.65,41.143,,
2024/2/18 13:54:58.122,2.2,75.169,38.024,,
2024/2/18 13:35:34.651,2.1,78.694,41.355,,
2024/2/18 12:26:21.156,2.7,78.522,40.959,,
2024/2/18 9:57:1.185,2,76.906,39.489,,
2024/2/18 9:11:20.99,2.3,83.89,41.809,,
2024/2/18 8:9:0.803,2.6,83.961,41.193,,
2024/2/18 6:31:0.491,2.6,78.742,41.323,,
2024/2/18 5:37:44.498,2.2,78.487,40.995,,
2024/2/18 5:11:6.093,3,75.303,39.836,,
2024/2/18 4:44:18.471,1.9,78.927,41.433,,
2024/2/18 4:19:50.961,2.4,84.071,41.208,,
2024/2/18 2:35:43.641,2.7,83.785,41.103,,
2024/2/18 0:38:6.325,2.6,78.544,40.94,,
2024/2/17 23:38:4.373,3.3,78.517,40.972,,
2024/2/17 22:1:40.505,2.5,78.692,41.385,,
2024/2/17 20:24:38.507,2,78.594,41.168,,
2024/2/17 20:18:14.613,2,78.771,41.397,,
2024/2/17 15:49:32.158,3.6,78.819,41.302,,
2024/2/17 12:50:0.131,2.3,78.681,41.258,,
2024/2/17 7:41:8.221,2.2,86.796,43.661,,
2024/2/17 7:14:6.1,1.9,78.976,41.455,,
2024/2/17 6:41:47.564,3.1,78.523,40.966,,
2024/2/17 6:20:19.616,2.4,84.526,44.09,,
2024/2/17 3:17:35.633,2.6,84.095,41.309,,
2024/2/17 2:58:0.516,2.8,78.349,41.146,,
2024/2/17 2:40:15.793,2.2,79.181,39.866,,
2024/2/17 0:27:41.419,2,78.494,41.031,,
2024/2/16 22:1:18.519,2.4,78.675,41.267,,
2024/2/16 21:15:53.249,3,84.185,40.758,,
2024/2/16 20:21:44.05,2.5,78.448,41.231,,
2024/2/16 18:53:15.402,2.1,84.196,40.837,,
2024/2/16 18:41:40.77,2.2,83.88,36.48,,
2024/2/16 17:12:48.425,1.9,83.01,44.134,,
2024/2/16 15:5:37.422,2.1,78.876,41.323,,
2024/2/16 14:52:16.782,2.9,83.142,40.182,,
2024/2/16 12:33:43.821,2.2,78.906,40.811,,
2024/2/16 11:14:17.461,2,76.932,39.507,,
2024/2/16 10:33:16.314,2.1,78.852,41.169,,
2024/2/16 9:47:41.968,2,78.795,41.149,,
